English,article,French
people,le,peuple
time,le,temps
thing,la,chose
way,le,chemin
day,le,jour
lot,le,lot
woman,la,femme
country,le,pays
life,la,vie
question,la,question
president,le,président
week,la,semaine
kind,le,genre
case,le,cas
problem,le,problème
fact,le,fait
family,la,famille
point,le,point
government,le,gouvernement
issue,la,question
part,la,partie
guy,le,gars
number,le,nombre
job,le,travail
night,la,nuit
right,le,droit
place,le,lieu
war,la,guerre
month,le,mois
book,le,livre
show,le,spectacle
police,la,police
program,le,programme
party,la,partie
law,la,loi
word,le,mot
person,la,personne
home,la,maison
side,le,côté
tax,la,taxe
democrat,le,démocrate
group,le,groupe
break,la,pause
member,le,membre
system,le,système
minute,la,minute
reason,la,raison
campaign,la,campagne
nation,la,nation
congress,le,congrès
mother,la,mère
force,la,force
health,la,santé
area,la,zone
name,le,nom
report,le,rapport
hand,la,main
line,la,ligne
end,la,fin
court,le,tribunal
couple,le,couple
house,la,maison
father,le,père
situation,la,situation
car,la,voiture
parent,le,parent
drug,le,médicament
city,la,ville
sense,le,sens
policy,la,politique
office,le,bureau
decision,la,décision
power,la,puissance
plan,le,plan
leader,le,leader
movie,le,film
death,la,mort
community,la,communauté
look,le,look
evidence,la,preuve
girl,la,jeune
doctor,le,médecin
vote,le,vote
video,la,vidéo
room,la,chambre
bit,le,bit
phone,le,téléphone
sort,le,genre
boy,le,garçon
crime,le,crime
process,le,processus
music,la,musique
service,le,service
record,le,dossier
security,la,sécurité
talk,le,discours
head,la,tête
candidate,le,candidat
official,le,fonctionnaire
chance,la,chance
game,le,jeu
baby,le,bébé
change,le,changement
trial,le,procès
body,le,corps
market,le,marché
son,le,fils
town,la,ville
television,la,télévision
will,la,volonté
troop,la,troupe
judge,le,juge
answer,la,réponse
position,la,position
view,la,vue
difference,la,différence
food,la,nourriture
daughter,la,fille
race,la,course
street,la,rue
price,le,prix
message,le,message
control,le,contrôle
debate,le,débat
film,le,film
level,le,niveau
relationship,la,relation
correspondent,le,correspondant
ground,le,sol
piece,la,pièce
husband,le,mari
budget,le,budget
jury,le,jury
reporter,le,journaliste
weekend,le,week-end
matter,la,matière
gun,le,pistolet
peace,la,paix
role,le,rôle
director,le,directeur
face,le,visage
result,le,résultat
public,le,public
poll,le,scrutin
second,la,seconde
opportunity,la,possibilité
brother,le,frère
statement,la,déclaration
fire,le,feu
rate,le,taux
song,la,chanson
charge,la,charge
support,le,support
radio,la,radio
bank,la,banque
victim,la,victime
door,la,porte
scene,la,scène
rest,le,reste
press,la,presse
choice,le,choix
speech,le,discours
patient,le,patient
truth,la,vérité
road,la,route
term,le,terme
site,le,site
worker,le,travailleur
professor,le,professeur
letter,la,lettre
reform,la,réforme
concern,la,préoccupation
college,le,collège
wall,le,mur
evening,le,soir
meeting,la,réunion
voice,la,voix
violence,la,violence
rule,la,règle
test,le,test
trouble,la,peine
risk,le,risque
prison,la,prison
class,la,classe
soldier,le,soldat
plane,le,plan
amount,la,quantité
cost,le,coût
foot,le,pied
period,la,période
feeling,le,sentiment
cause,la,cause
tape,la,bande
threat,la,menace
type,le,type
conversation,la,conversation
disease,la,maladie
cancer,le,cancer
magazine,le,magazine
governor,le,gouverneur
pressure,la,pression
majority,la,majorité
research,la,recherche
character,le,caractère
station,la,station
crisis,la,crise
blood,le,sang
chairman,le,président
list,la,liste
dog,le,chien
field,le,domaine
sister,la,sœur
player,le,joueur
paper,le,papier
store,la,boutique
responsibility,la,responsabilité
lady,la,dame
product,le,produit
value,la,valeur
stock,le,stock
trade,le,commerce
conference,la,conférence
cell,la,cellule
comment,le,commentaire
source,la,source
past,le,passé
cut,la,coupe
thought,la,pensée
credit,le,crédit
sign,le,signe
marriage,le,mariage
condition,la,condition
witness,le,témoin
technology,la,technologie
stage,la,scène
staff,le,personnel
arm,le,bras
mission,la,mission
battle,la,bataille
top,le,haut
citizen,le,citoyen
reaction,la,réaction
gentleman,le,monsieur
leadership,la,direction
fear,la,peur
language,la,langue
need,la,nécessité
justice,la,justice
discussion,la,discussion
border,la,frontière
response,la,réaction
network,le,réseau
movement,le,mouvement
male,le,mâle
capital,la,capitale
standard,la,norme
table,la,table
treatment,le,traitement
card,la,carte
shot,le,tir
board,le,conseil
reality,la,réalité
sir,le,monsieur
land,la,terre
project,le,projet
light,la,lumière
page,la,page
success,le,succès
sound,le,son
pain,la,douleur
season,la,saison
sport,le,sport
studio,le,studio
decade,la,décennie
challenge,le,défi
dream,le,rêve
newspaper,le,journal
floor,le,plancher
fight,la,lutte
safety,la,sécurité
trip,le,voyage
possibility,la,possibilité
freedom,la,liberté
fund,le,fonds
seat,le,siège
bomb,la,bombe
form,la,forme
minister,le,ministre
deficit,le,déficit
development,le,développement
flight,le,vol
secretary,le,secrétaire
committee,le,comité
consumer,le,consommateur
rock,la,roche
figure,la,figure
culture,la,culture
coverage,la,couverture
loss,la,perte
dad,le,papa
note,la,note
gas,le,gaz
region,la,région
population,la,population
ability,la,capacité
resolution,la,résolution
brain,le,cerveau
politician,le,politicien
middle,le,milieu
storm,la,tempête
generation,la,génération
critic,le,critique
fan,le,ventilateur
